data_id,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,location,latitude,longitude,geo_precision,source,source_scale,notes,timestamp,iso3
,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,,#country+code
7327674,ARM4966,4966,2020-12-05,2020,1,Protests,Peaceful protest,Protesters (Armenia),ARFD: Armenian Revolutionary Federation; HHK: Republican Party of Armenia; BHK: Prosperous Armenia Party; Homeland Party,6,,,0,60,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,Yerevan,40.1811,44.5136,1,Caucasian Knot,International,"On 5 December 2020, opposition Prosperous Armenia, Republican Party of Armenia, Homeland Party, Armenian Revolutionary Federation parties and others organized a protest of tens of thousands of people in Yerevan demanding the resignation of the Prime Minister. The protests in Armenia started upon the signing of the statement between the president of Azerbaijan to stop the fighting in Nagorno-Karabakh, which the opposition named as the surrender of Artsakh. [size=tens of thousands]",1607369873,ARM
7327633,ARM4965,4965,2020-12-03,2020,1,Protests,Peaceful protest,Protesters (Armenia),National Agenda,6,,,0,60,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,Yerevan,40.1811,44.5136,1,Tert; A1+,National,"On 3 December 2020, members of the National Agenda party organized a protest in front of the prosecutor's office in Yerevan demanding to stop political persecutions and start an investigation against the prime minister for signing the agreement ending the war Nagorno-Karabakh. A similar protest happened in front of another ruling party MP on that day in Yerevan. [size=no report]",1607369873,ARM
7327711,ARM4955,4955,2020-12-03,2020,1,Protests,Protest with intervention,Protesters (Armenia),ARFD: Armenian Revolutionary Federation,6,Police Forces of Armenia (2018-),,1,16,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,Yerevan,40.1811,44.5136,1,News Am,National,"On 3 December 2020, members of the Armenian Revolutionary Federation blocked several streets in Yerevan demanding the resignation of the prime minister of Armenia as part of string of nationwide protests against the agreement ending the war in Nagorno-Karabakh. The police intervened and detained 43 people blocking the streets. [size=no report]",1607369874,ARM
7327722,ARM4964,4964,2020-12-02,2020,1,Protests,Peaceful protest,Protesters (Armenia),ARFD: Armenian Revolutionary Federation; BHK: Prosperous Armenia Party; Government of Armenia (2018-),6,,,0,60,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,Yerevan,40.1811,44.5136,1,RFE/RL,International,"On 2 December 2020, members of the Armenian Revolutionary Federation organized a protest march in Yerevan demanding the resignation of the prime minister of Armenia as part of string of nationwide protests against the agreement ending the war in Nagorno-Karabakh. Among the protesters was the MP from Prosperious Armenia. [size=no report]",1607369874,ARM
7327879,ARM4962,4962,2020-12-01,2020,1,Protests,Peaceful protest,Protesters (Armenia),,6,,,0,60,Caucasus and Central Asia,Armenia,Armavir,Vagharshapat,Vagharshapat,40.1627,44.2931,1,Yerkir,National,"On 1 December 2020, parents and relatives of soldiers who went missing during the war in Nagorno Karabakh organized a protest in front of the military base in Vagharshapat demanding to organize search operations in Zangilan region. [size=no report]",1607369875,ARM
7327632,ARM4963,4963,2020-12-01,2020,1,Protests,Peaceful protest,Protesters (Armenia),Labour Group (Armenia),6,,,0,60,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,Yerevan,40.1811,44.5136,1,RFE/RL; Yerkir; A1+,National-International,"On 1 December 2020, parents and relatives of missing soldiers during the war in Nagorno Karabakh, organized a protest in front of the ministry of defense in Yerevan demanding to fasten search of missing soldiers and exchange hostages. Meanwhile, with the same demand singers, actors and other cultural figures organized a march to the US embassy and a group of people organized a protest in front of the house of an MP from the ruling party in Yerevan, all as part of string of nationwide protests against the agreement ending the war in Nagorno-Karabakh. [size=no report]",1607369873,ARM
7327647,ARM4954,4954,2020-12-01,2020,1,Protests,Protest with intervention,Protesters (Armenia),ARFD: Armenian Revolutionary Federation,6,Police Forces of Armenia (2018-),,1,16,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,Yerevan,40.1811,44.5136,1,A1+,National,"On 1 December 2020, members of the Armenian Revolutionary Federation organized a protest march in Yerevan demanding the resignation of the prime minister of Armenia as part of string of nationwide protests against the agreement ending the war in Nagorno-Karabakh. The police dispersed detained 35 people, after protesters tried to block one of the streets. [size=no report]",1607369873,ARM
7327648,ARM4961,4961,2020-12-01,2020,1,Protests,Peaceful protest,Protesters (Armenia),,6,,,0,60,Caucasus and Central Asia,Armenia,Shirak,Akhuryan,Gyumri,40.7847,43.8416,1,A1+,National,"On 1 December 2020, a group of people organized a protest in front of the house of an MP from the ruling party in Gyumri, demanding him to step down as part of string of nationwide protests against the agreement ending the war in Nagorno-Karabakh. [size=no report]",1607369873,ARM
7327631,ARM4960,4960,2020-11-30,2020,1,Protests,Protest with intervention,Protesters (Armenia),ARFD: Armenian Revolutionary Federation,6,Police Forces of Armenia (2018-),,1,16,Caucasus and Central Asia,Armenia,Yerevan,Yerevan,Yerevan,40.1811,44.5136,1,Yerevan Today; News Am,National,"On 30 November 2020, members of the Armenian Revolutionary Federation blocked Mashtots avenue in Yerevan demanding the resignation of the prime minister of Armenia as part of string of nationwide protests against the agreement ending the war in Nagorno-Karabakh. The police dispersed the protest and detained 33 people. [size=at least 33]",1607369873,ARM
